"","x1","x2"
"1",-327500,6008014.17991319
"2",-322500,6008014.17991319
"3",-317500,6008014.17991319
"4",-312500,6008014.17991319
"5",-307500,6008014.17991319
"6",-302500,6008014.17991319
"7",-297500,6008014.17991319
"8",-292500,6008014.17991319
"9",-287500,6008014.17991319
"10",-282500,6008014.17991319
"11",-277500,6008014.17991319
"12",-272500,6008014.17991319
"13",-267500,6008014.17991319
"14",-262500,6008014.17991319
"15",-257500,6008014.17991319
"16",-252500,6008014.17991319
"17",-247500,6008014.17991319
"18",-242500,6008014.17991319
"19",-237500,6008014.17991319
"20",-232500,6008014.17991319
"21",-227500,6008014.17991319
"22",-222500,6008014.17991319
"23",-217500,6008014.17991319
"24",-212500,6008014.17991319
"25",-207500,6008014.17991319
"26",-202500,6008014.17991319
"27",-197500,6008014.17991319
"28",-192500,6008014.17991319
"29",-187500,6008014.17991319
"30",-182500,6008014.17991319
"31",-177500,6008014.17991319
"32",-172500,6008014.17991319
"33",-167500,6008014.17991319
"34",-162500,6008014.17991319
"35",-157500,6008014.17991319
"36",-152500,6008014.17991319
"37",-147500,6008014.17991319
"38",-142500,6008014.17991319
"39",-137500,6008014.17991319
"40",-132500,6008014.17991319
"41",-127500,6008014.17991319
"42",-122500,6008014.17991319
"43",-117500,6008014.17991319
"44",-112500,6008014.17991319
"45",-107500,6008014.17991319
"46",-102500,6008014.17991319
"47",-97499.9999999998,6008014.17991319
"48",-92499.9999999998,6008014.17991319
"49",-87499.9999999998,6008014.17991319
"50",-82499.9999999998,6008014.17991319
"51",-77499.9999999998,6008014.17991319
"52",-72499.9999999998,6008014.17991319
"53",-67499.9999999998,6008014.17991319
"54",-62499.9999999998,6008014.17991319
"55",-57499.9999999998,6008014.17991319
"56",-52499.9999999998,6008014.17991319
"57",-47499.9999999998,6008014.17991319
"58",-42499.9999999998,6008014.17991319
"59",-37499.9999999998,6008014.17991319
"60",-32499.9999999998,6008014.17991319
"61",-27499.9999999998,6008014.17991319
"62",-22499.9999999998,6008014.17991319
"63",-17499.9999999998,6008014.17991319
"64",-12499.9999999998,6008014.17991319
"65",-7499.99999999977,6008014.17991319
"66",-2499.99999999977,6008014.17991319
"67",2500.00000000023,6008014.17991319
"68",7500.00000000023,6008014.17991319
"69",12500.0000000002,6008014.17991319
"70",17500.0000000002,6008014.17991319
"71",22500.0000000002,6008014.17991319
"72",27500.0000000002,6008014.17991319
"73",32500.0000000002,6008014.17991319
"74",37500.0000000002,6008014.17991319
"75",42500.0000000002,6008014.17991319
"76",47500.0000000002,6008014.17991319
"77",52500.0000000002,6008014.17991319
